top_n,algorithm,dataset,scene,overall,secondary,secondary_inlier_rate,secondary_overshooting,secondary_undershooting,synonym_inlier_rate,synonym_undershooting,synonyms
top_10,concept-fusion,replica,office2,0.7207125547717192,0.6881994460394015,0.03761203443021625,0.4906080039762569,0.6827991917526052,0.06123821924603175,0.7528075204812896,0.7499667187627028
top_10,concept-fusion,replica,office3,0.7219639541220326,0.6933406913545405,0.05118695626398708,0.5936688316993491,0.7035120254218236,0.09302660059239007,0.7531624967589495,0.7470705988884949
top_10,concept-fusion,replica,office4,0.754186067246417,0.6947311937029172,0.042653510420268284,0.37515873127657534,0.6983706807854524,0.103182384064737,0.7870061694632292,0.7937101416483364
top_10,concept-fusion,replica,room0,0.7401068828171258,0.7092735426382616,0.04867317552647107,0.4762780878792072,0.7369646466560636,0.13136345552075887,0.781394038310908,0.7667638516862907
top_10,concept-fusion,replica,room1,0.8233970176347102,0.7618985728566532,0.05965452371702371,0.4307359320497166,0.7629196731920276,0.1447687728937729,0.8389500601121854,0.8663402510217857
top_10,concept-fusion,replica,room2,0.7587642036328714,0.7154561867075138,0.04577595545640658,0.43626984209701974,0.6926384338010535,0.152989417989418,0.764612847915237,0.7952190714281216
top_10,concept-fusion,scannetpp,0a76e06478,0.7614447048815124,0.7275399363879311,0.035542823941624245,0.21494676075002003,0.6975616755570991,0.09494919762776906,0.7444497196581139,0.8037903004074922
top_10,concept-fusion,scannetpp,0a7cc12c0e,0.7491561037169787,0.7263877793244949,0.020913107511045654,0.30545635095726803,0.6900402217575924,0.08162623539982031,0.745448442045186,0.7729966106731992
top_10,concept-fusion,scannetpp,1f7cbbdde1,0.7504307364783814,0.7288257169291128,0.02365946805776173,0.3962148972653838,0.7121688152229816,0.10658383904652562,0.7503504848134916,0.7836766471571733
top_10,concept-fusion,scannetpp,49a82360aa,0.6820796703771701,0.6630278831088704,0.024225460074516675,0.41955267036823735,0.6549952627857251,0.06137746226241802,0.6735258265092086,0.7010821426219783
top_10,concept-fusion,scannetpp,4c5c60fa76,0.7282440861234415,0.6956710878508424,0.012797089859500189,0.40382936627609806,0.6795149313754063,0.07927849927849928,0.7132901967433458,0.7620328111969011
top_10,concept-fusion,scannetpp,8a35ef3cfe,0.7452605404005485,0.7314227430736845,0.028636151430269072,0.44047619162273244,0.7515229545546895,0.135345405767941,0.7582209550453595,0.7587877244632857
top_10,concept-fusion,scannetpp,c0f5742640,0.7211648457880545,0.6968368610574899,0.013439955106621776,0.28240740880575765,0.6671940949222487,0.07517522541561003,0.7124514444732788,0.74584005830178
