top_n,algorithm,dataset,scene,synonyms,depictions,vis_sim,clutter,incorrect,missing
top_1,openmask3d_duplicated,hm3d,00877,0.1834491174017342,0.0,0.005046404048362323,0.04794532819519715,0.42849871684055224,0.3350604335138787
top_1,openmask3d_duplicated,hm3d,00890,0.15953245207783134,5.169227588167638e-05,0.013338953021305722,0.12647610095348447,0.39788281970586575,0.30271798196579736
top_1,openmask3d_duplicated,replica,office0,0.20444144974921152,0.0072534637326813105,0.02134761077851929,0.29915311062318034,0.23678196542972454,0.2310223996866853
top_1,openmask3d_duplicated,replica,office1,0.13407691816421902,0.0,0.119392012530345,0.0407638890398171,0.6093675392305753,0.0963996410349223
top_1,openmask3d_duplicated,replica,office2,0.26787329672784793,0.0,0.03064811110219916,0.4030738025891628,0.25869984027663634,0.03970494930424201
top_1,openmask3d_duplicated,replica,office3,0.16382981560098475,0.0,0.016702100678150096,0.30753608364748897,0.46200406926686854,0.04992793080648568
top_1,openmask3d_duplicated,replica,office4,0.3230564299661173,0.0,0.000618292506918389,0.2316921872750029,0.42392121651511533,0.02071187373684158
top_1,openmask3d_duplicated,replica,room0,0.33104139199538624,0.0,0.011830565618560222,0.2553803161699072,0.2935955963904485,0.10815212982582108
top_1,openmask3d_duplicated,replica,room1,0.3432003839553427,0.0,0.00036536353671903543,0.19030509149912528,0.32359169232657253,0.14253746868230185
top_1,openmask3d_duplicated,replica,room2,0.36812318302434066,0.007660661086678961,0.019311970676807098,0.16769724927655583,0.3533788381396383,0.08382809779597025
top_1,openmask3d_duplicated,scannetpp,0a76e06478,0.22301449651917984,0.01046982690587669,0.020706757879048337,0.185245968962541,0.3561527118068375,0.20441023792619528
top_1,openmask3d_duplicated,scannetpp,0a7cc12c0e,0.07707083087101725,0.0,0.008338021469382076,0.16013151457785474,0.6035123938667607,0.15094723921453218
top_1,openmask3d_duplicated,scannetpp,1f7cbbdde1,0.08187518538022133,0.010316412656506338,0.020318484648521807,0.2487969003931075,0.5043237105023696,0.13436930641845637
top_1,openmask3d_duplicated,scannetpp,49a82360aa,0.12378345218606986,0.0,0.008657570477943313,0.35083611533982295,0.4566819134267659,0.060040948568567634
top_1,openmask3d_duplicated,scannetpp,4c5c60fa76,0.08099805010039228,0.0,0.015927736901124447,0.09400591914949778,0.6597245527048886,0.14934374114335225
top_1,openmask3d_duplicated,scannetpp,8a35ef3cfe,0.20556693495300857,0.0,0.01632151747113127,0.030988769349927933,0.6104114989507033,0.13671127927492358
top_1,openmask3d_duplicated,scannetpp,c0f5742640,0.1169813020569115,0.007003505423311806,0.0,0.18132931183155618,0.5439717375359254,0.15071414315286713
top_1,openmask3d_duplicated,scannetpp,fd361ab85f,0.2957348018688448,0.016398050974512805,8.659865236001941e-05,0.13842318777026688,0.4860606514322836,0.06329670930038858
top_1,openscene,replica,office0,0.0,0.0,0.0,0.046421281849572116,0.9010049424117257,0.05257377573886014
top_1,openscene,replica,office1,0.012664165103189498,0.0,0.05456719357100241,0.4606525508220995,0.4252545475808124,0.04686154292282874
top_1,openscene,replica,office2,0.0011997064375218543,0.0,0.0,0.18888955284878986,0.7210997987998584,0.0888109419138393
top_1,openscene,replica,office3,0.0,0.0,0.0,0.0010650887573964499,0.8759816695619853,0.12295324168083004
